TOP.5e5e1c53.000835e6	START
TOP.5e5e2133.000e0812	user_options->version	0
TOP.5e5e2133.000e0812	user_options->workload_profile	2
TOP.5e5e2133.000e0812	user_options->brain_client	0
TOP.5e5e2133.000e0812	user_options->brain_client_features	2
TOP.5e5e2133.000e0812	user_options->brain_server	0
TOP.5e5e2133.000e0812	user_options->brain_port	6863
TOP.5e5e2133.000e0812	user_options->brain_session	0
TOP.5e5e2133.000e0812	proc_start	1583227187
TOP.5e5e2133.000e0812	proc_stop	1583227187
TOP.5e5e2133.000e0812	STOP
TOP.5e65025b.00058106	START
TOP.5e65025b.00058106	user_options->separator	:
TOP.5e65025b.00058106	user_options->custom_charset_1	?u?l
TOP.5e65025b.00058106	user_options->custom_charset_2	?u?l?d
TOP.5e65025b.00058106	user_options->encoding_from	utf-8
TOP.5e65025b.00058106	user_options->encoding_to	utf-8
TOP.5e65025b.00058106	user_options->rule_buf_l	:
TOP.5e65025b.00058106	user_options->rule_buf_r	:
TOP.5e65025b.00058106	user_options->session	show
TOP.5e65025b.00058106	user_options->limit	0
TOP.5e65025b.00058106	user_options->skip	0
TOP.5e65025b.00058106	user_options->attack_mode	100
TOP.5e65025b.00058106	user_options->benchmark	0
TOP.5e65025b.00058106	user_options->benchmark_all	0
TOP.5e65025b.00058106	user_options->bitmap_max	18
TOP.5e65025b.00058106	user_options->bitmap_min	16
TOP.5e65025b.00058106	user_options->debug_mode	0
TOP.5e65025b.00058106	user_options->example_hashes	0
TOP.5e65025b.00058106	user_options->force	0
TOP.5e65025b.00058106	user_options->hwmon_disable	0
TOP.5e65025b.00058106	user_options->hwmon_temp_abort	90
TOP.5e65025b.00058106	user_options->hash_mode	20
TOP.5e65025b.00058106	user_options->hex_charset	0
TOP.5e65025b.00058106	user_options->hex_salt	1
TOP.5e65025b.00058106	user_options->hex_wordlist	0
TOP.5e65025b.00058106	user_options->increment	0
TOP.5e65025b.00058106	user_options->increment_max	256
TOP.5e65025b.00058106	user_options->increment_min	1
TOP.5e65025b.00058106	user_options->keep_guessing	0
TOP.5e65025b.00058106	user_options->kernel_accel	0
TOP.5e65025b.00058106	user_options->kernel_loops	0
TOP.5e65025b.00058106	user_options->kernel_threads	0
TOP.5e65025b.00058106	user_options->keyspace	0
TOP.5e65025b.00058106	user_options->left	0
TOP.5e65025b.00058106	user_options->logfile_disable	0
TOP.5e65025b.00058106	user_options->loopback	0
TOP.5e65025b.00058106	user_options->machine_readable	0
TOP.5e65025b.00058106	user_options->markov_classic	0
TOP.5e65025b.00058106	user_options->markov_disable	0
TOP.5e65025b.00058106	user_options->markov_threshold	256
TOP.5e65025b.00058106	user_options->opencl_info	0
TOP.5e65025b.00058106	user_options->opencl_vector_width	0
TOP.5e65025b.00058106	user_options->optimized_kernel_enable	0
TOP.5e65025b.00058106	user_options->outfile_autohex	1
TOP.5e65025b.00058106	user_options->outfile_check_timer	5
TOP.5e65025b.00058106	user_options->outfile_format	3
TOP.5e65025b.00058106	user_options->wordlist_autohex_disable	0
TOP.5e65025b.00058106	user_options->potfile_disable	0
TOP.5e65025b.00058106	user_options->progress_only	0
TOP.5e65025b.00058106	user_options->quiet	1
TOP.5e65025b.00058106	user_options->remove	0
TOP.5e65025b.00058106	user_options->remove_timer	60
TOP.5e65025b.00058106	user_options->restore	0
TOP.5e65025b.00058106	user_options->restore_disable	1
TOP.5e65025b.00058106	user_options->restore_timer	60
TOP.5e65025b.00058106	user_options->rp_files_cnt	0
TOP.5e65025b.00058106	user_options->rp_gen	0
TOP.5e65025b.00058106	user_options->rp_gen_func_max	4
TOP.5e65025b.00058106	user_options->rp_gen_func_min	1
TOP.5e65025b.00058106	user_options->rp_gen_seed	0
TOP.5e65025b.00058106	user_options->runtime	0
TOP.5e65025b.00058106	user_options->scrypt_tmto	0
TOP.5e65025b.00058106	user_options->segment_size	33554432
TOP.5e65025b.00058106	user_options->self_test_disable	0
TOP.5e65025b.00058106	user_options->slow_candidates	0
TOP.5e65025b.00058106	user_options->show	1
TOP.5e65025b.00058106	user_options->speed_only	0
TOP.5e65025b.00058106	user_options->spin_damp	8
TOP.5e65025b.00058106	user_options->status	0
TOP.5e65025b.00058106	user_options->status_timer	10
TOP.5e65025b.00058106	user_options->stdout_flag	0
TOP.5e65025b.00058106	user_options->usage	0
TOP.5e65025b.00058106	user_options->username	0
TOP.5e65025b.00058106	user_options->veracrypt_pim	0
TOP.5e65025b.00058106	user_options->version	0
TOP.5e65025b.00058106	user_options->workload_profile	2
TOP.5e65025b.00058106	user_options->brain_client	0
TOP.5e65025b.00058106	user_options->brain_client_features	2
TOP.5e65025b.00058106	user_options->brain_server	0
TOP.5e65025b.00058106	user_options->brain_port	6863
TOP.5e65025b.00058106	user_options->brain_session	0
TOP.5e65025b.00058106	proc_start	1583678043
TOP.5e65025b.00058106	proc_stop	1583678043
TOP.5e65025b.00058106	STOP
TOP.5e65036d.00043a56	START
TOP.5e65036d.00043a56	user_options->separator	:
TOP.5e65036d.00043a56	user_options->custom_charset_1	?u?l
TOP.5e65036d.00043a56	user_options->custom_charset_2	?u?l?d
TOP.5e65036d.00043a56	user_options->encoding_from	utf-8
TOP.5e65036d.00043a56	user_options->encoding_to	utf-8
TOP.5e65036d.00043a56	user_options->rule_buf_l	:
TOP.5e65036d.00043a56	user_options->rule_buf_r	:
TOP.5e65036d.00043a56	user_options->session	show
TOP.5e65036d.00043a56	user_options->limit	0
TOP.5e65036d.00043a56	user_options->skip	0
TOP.5e65036d.00043a56	user_options->attack_mode	100
TOP.5e65036d.00043a56	user_options->benchmark	0
TOP.5e65036d.00043a56	user_options->benchmark_all	0
TOP.5e65036d.00043a56	user_options->bitmap_max	18
TOP.5e65036d.00043a56	user_options->bitmap_min	16
TOP.5e65036d.00043a56	user_options->debug_mode	0
TOP.5e65036d.00043a56	user_options->example_hashes	0
TOP.5e65036d.00043a56	user_options->force	0
TOP.5e65036d.00043a56	user_options->hwmon_disable	0
TOP.5e65036d.00043a56	user_options->hwmon_temp_abort	90
TOP.5e65036d.00043a56	user_options->hash_mode	20
TOP.5e65036d.00043a56	user_options->hex_charset	0
TOP.5e65036d.00043a56	user_options->hex_salt	1
TOP.5e65036d.00043a56	user_options->hex_wordlist	0
TOP.5e65036d.00043a56	user_options->increment	1
TOP.5e65036d.00043a56	user_options->increment_max	256
TOP.5e65036d.00043a56	user_options->increment_min	4
TOP.5e65036d.00043a56	user_options->keep_guessing	0
TOP.5e65036d.00043a56	user_options->kernel_accel	0
TOP.5e65036d.00043a56	user_options->kernel_loops	0
TOP.5e65036d.00043a56	user_options->kernel_threads	0
TOP.5e65036d.00043a56	user_options->keyspace	0
TOP.5e65036d.00043a56	user_options->left	0
TOP.5e65036d.00043a56	user_options->logfile_disable	0
TOP.5e65036d.00043a56	user_options->loopback	0
TOP.5e65036d.00043a56	user_options->machine_readable	0
TOP.5e65036d.00043a56	user_options->markov_classic	0
TOP.5e65036d.00043a56	user_options->markov_disable	0
TOP.5e65036d.00043a56	user_options->markov_threshold	256
TOP.5e65036d.00043a56	user_options->opencl_info	0
TOP.5e65036d.00043a56	user_options->opencl_vector_width	0
TOP.5e65036d.00043a56	user_options->optimized_kernel_enable	0
TOP.5e65036d.00043a56	user_options->outfile_autohex	1
TOP.5e65036d.00043a56	user_options->outfile_check_timer	5
TOP.5e65036d.00043a56	user_options->outfile_format	3
TOP.5e65036d.00043a56	user_options->wordlist_autohex_disable	0
TOP.5e65036d.00043a56	user_options->potfile_disable	0
TOP.5e65036d.00043a56	user_options->progress_only	0
TOP.5e65036d.00043a56	user_options->quiet	1
TOP.5e65036d.00043a56	user_options->remove	0
TOP.5e65036d.00043a56	user_options->remove_timer	60
TOP.5e65036d.00043a56	user_options->restore	0
TOP.5e65036d.00043a56	user_options->restore_disable	1
TOP.5e65036d.00043a56	user_options->restore_timer	60
TOP.5e65036d.00043a56	user_options->rp_files_cnt	0
TOP.5e65036d.00043a56	user_options->rp_gen	0
TOP.5e65036d.00043a56	user_options->rp_gen_func_max	4
TOP.5e65036d.00043a56	user_options->rp_gen_func_min	1
TOP.5e65036d.00043a56	user_options->rp_gen_seed	0
TOP.5e65036d.00043a56	user_options->runtime	0
TOP.5e65036d.00043a56	user_options->scrypt_tmto	0
TOP.5e65036d.00043a56	user_options->segment_size	33554432
TOP.5e65036d.00043a56	user_options->self_test_disable	0
TOP.5e65036d.00043a56	user_options->slow_candidates	0
TOP.5e65036d.00043a56	user_options->show	1
TOP.5e65036d.00043a56	user_options->speed_only	0
TOP.5e65036d.00043a56	user_options->spin_damp	8
TOP.5e65036d.00043a56	user_options->status	0
TOP.5e65036d.00043a56	user_options->status_timer	10
TOP.5e65036d.00043a56	user_options->stdout_flag	0
TOP.5e65036d.00043a56	user_options->usage	0
TOP.5e65036d.00043a56	user_options->username	0
TOP.5e65036d.00043a56	user_options->veracrypt_pim	0
TOP.5e65036d.00043a56	user_options->version	0
TOP.5e65036d.00043a56	user_options->workload_profile	2
TOP.5e65036d.00043a56	user_options->brain_client	0
TOP.5e65036d.00043a56	user_options->brain_client_features	2
TOP.5e65036d.00043a56	user_options->brain_server	0
TOP.5e65036d.00043a56	user_options->brain_port	6863
TOP.5e65036d.00043a56	user_options->brain_session	0
TOP.5e65036d.00043a56	proc_start	1583678317
TOP.5e65036d.00043a56	proc_stop	1583678317
TOP.5e65036d.00043a56	STOP
TOP.5e650409.0001cf1a	START
TOP.5e650409.0001cf1a	user_options->separator	:
TOP.5e650409.0001cf1a	user_options->custom_charset_1	?u?l
TOP.5e650409.0001cf1a	user_options->custom_charset_2	?u?l?d
TOP.5e650409.0001cf1a	user_options->encoding_from	utf-8
TOP.5e650409.0001cf1a	user_options->encoding_to	utf-8
TOP.5e650409.0001cf1a	user_options->rule_buf_l	:
TOP.5e650409.0001cf1a	user_options->rule_buf_r	:
TOP.5e650409.0001cf1a	user_options->session	show
TOP.5e650409.0001cf1a	user_options->limit	0
TOP.5e650409.0001cf1a	user_options->skip	0
TOP.5e650409.0001cf1a	user_options->attack_mode	100
TOP.5e650409.0001cf1a	user_options->benchmark	0
TOP.5e650409.0001cf1a	user_options->benchmark_all	0
TOP.5e650409.0001cf1a	user_options->bitmap_max	18
TOP.5e650409.0001cf1a	user_options->bitmap_min	16
TOP.5e650409.0001cf1a	user_options->debug_mode	0
TOP.5e650409.0001cf1a	user_options->example_hashes	0
TOP.5e650409.0001cf1a	user_options->force	0
TOP.5e650409.0001cf1a	user_options->hwmon_disable	0
TOP.5e650409.0001cf1a	user_options->hwmon_temp_abort	90
TOP.5e650409.0001cf1a	user_options->hash_mode	20
TOP.5e650409.0001cf1a	user_options->hex_charset	0
TOP.5e650409.0001cf1a	user_options->hex_salt	1
TOP.5e650409.0001cf1a	user_options->hex_wordlist	0
TOP.5e650409.0001cf1a	user_options->increment	1
TOP.5e650409.0001cf1a	user_options->increment_max	256
TOP.5e650409.0001cf1a	user_options->increment_min	4
TOP.5e650409.0001cf1a	user_options->keep_guessing	0
TOP.5e650409.0001cf1a	user_options->kernel_accel	0
TOP.5e650409.0001cf1a	user_options->kernel_loops	0
TOP.5e650409.0001cf1a	user_options->kernel_threads	0
TOP.5e650409.0001cf1a	user_options->keyspace	0
TOP.5e650409.0001cf1a	user_options->left	0
TOP.5e650409.0001cf1a	user_options->logfile_disable	0
TOP.5e650409.0001cf1a	user_options->loopback	0
TOP.5e650409.0001cf1a	user_options->machine_readable	0
TOP.5e650409.0001cf1a	user_options->markov_classic	0
TOP.5e650409.0001cf1a	user_options->markov_disable	0
TOP.5e650409.0001cf1a	user_options->markov_threshold	256
TOP.5e650409.0001cf1a	user_options->opencl_info	0
TOP.5e650409.0001cf1a	user_options->opencl_vector_width	0
TOP.5e650409.0001cf1a	user_options->optimized_kernel_enable	0
TOP.5e650409.0001cf1a	user_options->outfile_autohex	1
TOP.5e650409.0001cf1a	user_options->outfile_check_timer	5
TOP.5e650409.0001cf1a	user_options->outfile_format	3
TOP.5e650409.0001cf1a	user_options->wordlist_autohex_disable	0
TOP.5e650409.0001cf1a	user_options->potfile_disable	0
TOP.5e650409.0001cf1a	user_options->progress_only	0
TOP.5e650409.0001cf1a	user_options->quiet	1
TOP.5e650409.0001cf1a	user_options->remove	0
TOP.5e650409.0001cf1a	user_options->remove_timer	60
TOP.5e650409.0001cf1a	user_options->restore	0
TOP.5e650409.0001cf1a	user_options->restore_disable	1
TOP.5e650409.0001cf1a	user_options->restore_timer	60
TOP.5e650409.0001cf1a	user_options->rp_files_cnt	0
TOP.5e650409.0001cf1a	user_options->rp_gen	0
TOP.5e650409.0001cf1a	user_options->rp_gen_func_max	4
TOP.5e650409.0001cf1a	user_options->rp_gen_func_min	1
TOP.5e650409.0001cf1a	user_options->rp_gen_seed	0
TOP.5e650409.0001cf1a	user_options->runtime	0
TOP.5e650409.0001cf1a	user_options->scrypt_tmto	0
TOP.5e650409.0001cf1a	user_options->segment_size	33554432
TOP.5e650409.0001cf1a	user_options->self_test_disable	0
TOP.5e650409.0001cf1a	user_options->slow_candidates	0
TOP.5e650409.0001cf1a	user_options->show	1
TOP.5e650409.0001cf1a	user_options->speed_only	0
TOP.5e650409.0001cf1a	user_options->spin_damp	8
TOP.5e650409.0001cf1a	user_options->status	0
TOP.5e650409.0001cf1a	user_options->status_timer	10
TOP.5e650409.0001cf1a	user_options->stdout_flag	0
TOP.5e650409.0001cf1a	user_options->usage	0
TOP.5e650409.0001cf1a	user_options->username	0
TOP.5e650409.0001cf1a	user_options->veracrypt_pim	0
TOP.5e650409.0001cf1a	user_options->version	0
TOP.5e650409.0001cf1a	user_options->workload_profile	2
TOP.5e650409.0001cf1a	user_options->brain_client	0
TOP.5e650409.0001cf1a	user_options->brain_client_features	2
TOP.5e650409.0001cf1a	user_options->brain_server	0
TOP.5e650409.0001cf1a	user_options->brain_port	6863
TOP.5e650409.0001cf1a	user_options->brain_session	0
TOP.5e650409.0001cf1a	proc_start	1583678473
TOP.5e650409.0001cf1a	proc_stop	1583678473
TOP.5e650409.0001cf1a	STOP
TOP.5e6508f3.000d183f	START
TOP.5e6508f3.000d183f	user_options->separator	:
TOP.5e6508f3.000d183f	user_options->custom_charset_1	?u?l
TOP.5e6508f3.000d183f	user_options->custom_charset_2	?u?l?d
TOP.5e6508f3.000d183f	user_options->encoding_from	utf-8
TOP.5e6508f3.000d183f	user_options->encoding_to	utf-8
TOP.5e6508f3.000d183f	user_options->rule_buf_l	:
TOP.5e6508f3.000d183f	user_options->rule_buf_r	:
TOP.5e6508f3.000d183f	user_options->session	show
TOP.5e6508f3.000d183f	user_options->limit	0
TOP.5e6508f3.000d183f	user_options->skip	0
TOP.5e6508f3.000d183f	user_options->attack_mode	100
TOP.5e6508f3.000d183f	user_options->benchmark	0
TOP.5e6508f3.000d183f	user_options->benchmark_all	0
TOP.5e6508f3.000d183f	user_options->bitmap_max	18
TOP.5e6508f3.000d183f	user_options->bitmap_min	16
TOP.5e6508f3.000d183f	user_options->debug_mode	0
TOP.5e6508f3.000d183f	user_options->example_hashes	0
TOP.5e6508f3.000d183f	user_options->force	0
TOP.5e6508f3.000d183f	user_options->hwmon_disable	0
TOP.5e6508f3.000d183f	user_options->hwmon_temp_abort	90
TOP.5e6508f3.000d183f	user_options->hash_mode	20
TOP.5e6508f3.000d183f	user_options->hex_charset	0
TOP.5e6508f3.000d183f	user_options->hex_salt	1
TOP.5e6508f3.000d183f	user_options->hex_wordlist	0
TOP.5e6508f3.000d183f	user_options->increment	1
TOP.5e6508f3.000d183f	user_options->increment_max	256
TOP.5e6508f3.000d183f	user_options->increment_min	4
TOP.5e6508f3.000d183f	user_options->keep_guessing	0
TOP.5e6508f3.000d183f	user_options->kernel_accel	0
TOP.5e6508f3.000d183f	user_options->kernel_loops	0
TOP.5e6508f3.000d183f	user_options->kernel_threads	0
TOP.5e6508f3.000d183f	user_options->keyspace	0
TOP.5e6508f3.000d183f	user_options->left	0
TOP.5e6508f3.000d183f	user_options->logfile_disable	0
TOP.5e6508f3.000d183f	user_options->loopback	0
TOP.5e6508f3.000d183f	user_options->machine_readable	0
TOP.5e6508f3.000d183f	user_options->markov_classic	0
TOP.5e6508f3.000d183f	user_options->markov_disable	0
TOP.5e6508f3.000d183f	user_options->markov_threshold	256
TOP.5e6508f3.000d183f	user_options->opencl_info	0
TOP.5e6508f3.000d183f	user_options->opencl_vector_width	0
TOP.5e6508f3.000d183f	user_options->optimized_kernel_enable	0
TOP.5e6508f3.000d183f	user_options->outfile_autohex	1
TOP.5e6508f3.000d183f	user_options->outfile_check_timer	5
TOP.5e6508f3.000d183f	user_options->outfile_format	3
TOP.5e6508f3.000d183f	user_options->wordlist_autohex_disable	0
TOP.5e6508f3.000d183f	user_options->potfile_disable	0
TOP.5e6508f3.000d183f	user_options->progress_only	0
TOP.5e6508f3.000d183f	user_options->quiet	1
TOP.5e6508f3.000d183f	user_options->remove	0
TOP.5e6508f3.000d183f	user_options->remove_timer	60
TOP.5e6508f3.000d183f	user_options->restore	0
TOP.5e6508f3.000d183f	user_options->restore_disable	1
TOP.5e6508f3.000d183f	user_options->restore_timer	60
TOP.5e6508f3.000d183f	user_options->rp_files_cnt	0
TOP.5e6508f3.000d183f	user_options->rp_gen	0
TOP.5e6508f3.000d183f	user_options->rp_gen_func_max	4
TOP.5e6508f3.000d183f	user_options->rp_gen_func_min	1
TOP.5e6508f3.000d183f	user_options->rp_gen_seed	0
TOP.5e6508f3.000d183f	user_options->runtime	0
TOP.5e6508f3.000d183f	user_options->scrypt_tmto	0
TOP.5e6508f3.000d183f	user_options->segment_size	33554432
TOP.5e6508f3.000d183f	user_options->self_test_disable	0
TOP.5e6508f3.000d183f	user_options->slow_candidates	0
TOP.5e6508f3.000d183f	user_options->show	1
TOP.5e6508f3.000d183f	user_options->speed_only	0
TOP.5e6508f3.000d183f	user_options->spin_damp	8
TOP.5e6508f3.000d183f	user_options->status	0
TOP.5e6508f3.000d183f	user_options->status_timer	10
TOP.5e6508f3.000d183f	user_options->stdout_flag	0
TOP.5e6508f3.000d183f	user_options->usage	0
TOP.5e6508f3.000d183f	user_options->username	0
TOP.5e6508f3.000d183f	user_options->veracrypt_pim	0
TOP.5e6508f3.000d183f	user_options->version	0
TOP.5e6508f3.000d183f	user_options->workload_profile	2
TOP.5e6508f3.000d183f	user_options->brain_client	0
TOP.5e6508f3.000d183f	user_options->brain_client_features	2
TOP.5e6508f3.000d183f	user_options->brain_server	0
TOP.5e6508f3.000d183f	user_options->brain_port	6863
TOP.5e6508f3.000d183f	user_options->brain_session	0
TOP.5e6508f3.000d183f	proc_start	1583679731
TOP.5e6508f3.000d183f	proc_stop	1583679731
TOP.5e6508f3.000d183f	STOP
TOP.5e6768cc.000e9a6e	START
